#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU1639777,12,9,1,3,2,1,15,11,15,11,6,6
OTU4369470,6,6,9,6,7,7,5,9,4,6,9,8
OTU13100,1,0,0,0,0,0,0,0,1,0,1,1
OTU1142871,24,19,20,21,16,14,25,26,25,20,36,43
OTU1044436,1,2,4,2,1,3,2,1,0,2,2,2
OTU214128,5,15,14,9,9,14,10,11,9,12,7,7
OTU219034,1,0,0,1,1,1,2,1,1,1,1,1
OTU1542689,2,2,0,4,3,1,2,1,3,2,6,4
OTU357011,2,3,9,5,4,7,2,4,4,4,3,4
OTU1131894,12,18,7,4,2,8,0,1,11,18,1,1
OTU4373459,6,4,7,4,5,7,5,7,6,5,7,5
OTU1125248,5,4,7,4,3,3,1,2,3,3,2,2
OTU4302753,4,0,0,0,0,0,2,2,3,0,2,2
OTU1138326,3,1,0,2,1,0,1,1,1,0,1,1
OTU241078,12,9,1,7,8,1,11,15,8,8,11,7
OTU217201,2,7,8,6,10,11,5,6,6,9,8,8
OTU304694,2,2,1,2,1,1,2,1,3,2,1,2
OTU3334375,4,3,3,3,2,0,8,10,8,5,4,7
OTU4386675,1,0,1,0,0,1,1,0,1,0,2,2
OTU307844,1,1,0,1,1,0,0,1,1,0,2,1
OTU2679706,2,2,9,2,2,9,0,2,2,2,5,4
OTU212186,12,18,24,18,19,25,24,24,14,17,18,22
OTU4299406,1,0,0,3,1,0,0,1,2,0,1,2
OTU106252,2,1,0,1,2,0,3,2,2,0,1,0
OTU236133,4,1,4,1,0,4,2,0,3,1,1,1
OTU200046,4,3,0,3,2,0,8,5,4,3,4,2
OTU239396,1,0,0,0,0,0,1,1,0,0,2,2
OTU2661155,1,0,3,3,2,1,2,3,2,2,1,0
OTU207866,5,4,11,7,5,7,3,7,3,4,11,10
OTU367851,2,1,0,0,1,0,9,10,4,0,1,1
OTU1107738,2,0,0,0,0,0,1,1,3,0,1,1
OTU1012195,1,0,0,0,0,0,2,1,1,0,1,1
OTU261663,1,0,7,2,1,1,3,2,1,0,1,1
OTU217030,3,3,8,6,3,7,5,3,3,2,8,7
OTU1785533,5,4,0,5,5,0,4,3,5,4,3,5
OTU4348104,4,3,8,3,2,3,7,7,4,4,9,10
OTU1136183,6,4,1,4,5,5,2,2,4,4,6,7
OTU105132,1,4,1,1,1,1,1,1,1,2,2,2
OTU4091471,2,0,3,1,1,0,0,1,1,0,1,1
OTU208424,9,4,9,4,6,9,9,8,9,3,4,3
OTU4321043,1,1,1,1,1,3,1,0,1,1,1,1
OTU2025156,4,2,3,2,2,1,3,3,3,2,2,1
OTU240866,1,0,1,0,1,0,0,1,1,1,1,1
OTU146122,1,0,0,0,0,0,0,1,1,0,1,1
OTU2984011,12,11,5,13,11,7,9,10,11,10,1,2
OTU236466,0,0,1,1,0,0,1,1,1,0,2,1
OTU223655,6,3,1,3,4,1,5,4,3,3,1,1
OTU4343394,2,1,0,2,2,0,1,1,1,1,1,1
OTU249571,4,1,7,1,1,7,5,5,3,2,4,2
OTU2631018,2,1,0,0,1,1,2,2,1,2,2,1
OTU240064,1,3,0,1,0,0,0,1,1,3,2,2
OTU101542,0,0,1,1,0,1,0,0,1,1,1,1
OTU105699,7,6,1,6,6,1,9,6,9,5,2,3
OTU1125837,2,6,4,9,13,7,4,3,3,6,3,4
OTU347529,1,1,0,1,2,0,1,1,1,0,1,1
OTU1129425,10,4,4,5,5,4,6,5,11,5,3,2
OTU210344,4,1,4,2,2,4,1,1,3,1,3,1
OTU329490,2,0,1,2,2,0,1,0,2,0,3,2
OTU4369842,3,1,1,4,4,1,4,2,3,4,1,1
OTU3849735,4,2,4,3,4,4,5,6,3,2,5,6
OTU207813,2,1,1,1,1,1,0,0,2,0,1,1
OTU353731,1,2,0,2,1,0,3,2,1,2,2,1
OTU207153,2,0,1,2,1,1,1,1,1,0,2,1
OTU4306723,1,0,1,0,0,1,0,0,0,0,1,1
OTU224647,2,2,0,1,0,0,1,0,2,3,1,0
OTU205571,1,0,0,0,0,1,0,0,1,0,4,5
OTU362643,2,0,0,1,1,0,0,1,1,0,0,1
OTU341901,2,0,0,0,0,0,1,1,4,0,0,1
OTU1131019,0,0,0,0,0,0,1,0,1,0,1,1
OTU1000876,2,2,1,3,1,1,1,2,2,2,1,0
OTU123077,1,0,0,2,1,0,0,0,1,0,1,1
OTU1967615,2,0,0,0,0,0,1,0,1,0,1,1
OTU1127161,3,0,4,0,0,1,1,1,3,0,1,0
OTU321721,2,2,1,2,2,1,2,2,1,2,1,2
OTU216418,5,3,3,3,2,4,3,5,3,3,5,2
OTU1023338,0,0,0,0,0,0,0,1,1,0,1,1
OTU331521,2,3,4,5,5,4,5,5,5,5,3,4
OTU3330580,1,1,0,3,3,1,1,0,1,2,1,1
OTU280453,2,0,0,0,0,0,0,0,1,0,1,1
OTU4321229,1,1,0,3,2,1,1,1,3,2,1,1
OTU216925,17,20,20,21,22,24,12,15,21,20,40,38
OTU351383,1,0,3,2,1,1,1,1,1,0,1,1
OTU4386631,3,2,5,3,1,4,3,2,3,3,4,4
OTU254031,1,9,3,5,6,4,3,5,1,12,6,3
OTU1103391,1,1,0,1,0,1,2,0,0,1,2,2
OTU248747,1,1,5,2,2,3,0,1,3,0,1,1
OTU254401,12,11,9,8,11,12,12,14,10,12,11,7
OTU210201,2,1,1,0,1,0,1,1,2,1,2,1
OTU157614,1,0,3,1,0,4,0,2,3,1,2,1
OTU250724,1,8,16,0,0,12,12,12,1,11,9,8
OTU158804,1,1,0,2,1,1,0,1,1,0,1,1
OTU260903,4,2,4,4,2,5,4,4,4,2,2,4
OTU1110625,1,1,1,2,1,0,3,2,1,1,2,1
OTU2881877,3,1,0,3,3,0,1,2,3,2,0,2
OTU244091,1,0,0,0,0,0,0,0,1,0,1,0
OTU217328,0,0,4,6,4,1,0,2,1,0,1,1
OTU2655357,2,0,0,0,0,0,1,1,2,0,1,1
OTU360823,1,1,3,0,0,1,3,1,1,0,2,2
OTU1143223,2,2,1,2,1,0,2,2,1,2,0,1
OTU2316421,1,0,0,0,0,0,1,1,1,0,1,1
OTU336298,19,4,1,6,7,5,3,2,20,4,5,5
OTU4348382,1,0,0,0,0,0,0,0,1,0,1,1
OTU1126886,2,2,1,2,2,3,2,2,3,3,1,1
OTU251983,1,0,0,0,0,0,0,1,2,0,4,5
OTU226288,4,2,3,3,4,3,1,2,4,1,1,2
OTU216191,2,0,0,1,2,0,0,0,2,0,1,1
OTU203744,1,1,0,1,0,0,1,1,0,0,2,3
OTU4336201,2,0,0,0,0,0,0,1,1,0,2,1
OTU133780,1,0,0,0,0,0,0,0,1,0,1,1
OTU237286,1,0,0,0,0,0,0,0,1,0,1,1
OTU313833,3,4,1,2,3,4,3,3,4,2,1,2
OTU1119166,2,6,4,2,2,5,3,3,3,3,5,4
OTU163345,1,1,3,1,1,3,0,0,1,2,1,1
OTU152581,2,2,0,1,1,3,0,1,3,2,4,2
OTU112867,11,7,1,2,2,1,10,10,9,6,2,1
OTU210428,1,0,3,0,1,1,0,1,1,0,1,2
OTU223520,4,4,1,6,5,4,5,6,3,4,3,4
OTU217700,1,0,0,0,0,0,0,1,1,0,1,1
OTU156154,1,0,0,1,1,1,1,1,1,0,1,0
OTU3922904,2,5,3,5,4,3,2,3,3,3,2,4
OTU149419,2,7,11,8,7,7,5,4,1,8,4,4
OTU436590,5,0,3,1,2,1,2,1,4,2,2,1
OTU366851,2,3,0,2,2,1,4,4,2,4,2,2
OTU212027,2,0,0,0,0,0,1,1,1,0,0,1
OTU1639771,2,2,0,2,2,1,3,4,1,1,6,4
OTU206278,3,1,1,0,0,1,4,4,2,1,0,3
OTU226487,2,0,1,2,0,1,2,2,1,1,2,1
OTU246952,4,3,3,2,2,0,0,0,4,3,1,2
OTU275105,19,15,29,17,19,25,21,25,19,18,27,25
OTU4308759,6,4,7,5,4,5,5,4,6,7,4,6
OTU219282,1,1,1,0,0,1,0,0,1,2,1,1
OTU208800,2,1,4,0,0,3,2,1,2,1,2,1
OTU324699,1,1,0,2,2,0,1,2,1,1,1,1
OTU1102477,1,1,0,2,3,3,1,1,3,0,1,1
OTU246503,2,4,3,2,2,1,6,5,2,5,7,6
OTU245720,2,0,0,0,1,0,0,1,2,0,1,1
OTU209886,4,1,3,1,0,1,1,2,3,1,2,2
OTU168212,1,1,3,2,2,5,3,3,1,1,2,1
OTU208637,1,3,1,0,2,1,2,2,2,3,2,1
OTU4389972,1,1,1,0,0,0,1,1,1,1,1,1
OTU226762,1,0,0,0,1,0,0,1,1,0,1,1
OTU225485,7,2,1,5,4,4,6,5,8,4,2,3
OTU219818,6,6,1,4,6,3,10,13,9,5,4,9
OTU1038987,1,0,4,1,1,4,2,1,1,0,4,4
OTU1042351,6,4,4,4,4,3,8,7,5,5,3,2
OTU207216,4,2,7,4,4,9,3,3,3,3,5,6
OTU4345884,1,0,0,0,0,0,0,0,0,0,1,1
OTU222792,1,1,1,1,0,3,1,1,1,1,2,0
OTU212493,2,4,3,3,4,0,6,5,1,7,4,7
OTU245723,32,26,28,25,25,30,51,49,31,28,32,37
OTU205391,2,7,3,2,3,3,6,9,3,8,7,6
OTU136998,2,0,4,2,2,4,1,0,3,1,1,1
OTU4361561,7,6,4,6,6,5,7,6,5,7,4,6
OTU243855,4,1,0,2,3,1,3,3,5,1,5,4
OTU160908,2,3,3,3,2,1,1,1,4,1,5,5
OTU4354531,1,0,0,0,0,0,1,1,1,0,1,1
OTU4342310,2,2,0,1,2,0,1,0,1,2,2,1
OTU4309801,2,2,0,2,2,1,2,2,1,1,1,2
OTU4331657,1,1,0,0,0,1,1,1,2,1,1,1
OTU368890,23,28,28,29,30,29,44,44,33,28,25,24
OTU207780,0,1,1,1,2,4,4,3,1,2,2,2
OTU271943,18,8,12,11,12,7,18,20,18,9,1,2
OTU4366579,3,3,1,4,2,1,7,5,3,2,7,4
OTU4325926,1,1,0,3,3,1,1,0,1,1,1,1
OTU3167757,0,1,1,1,2,0,0,0,1,1,2,1
OTU237257,9,8,1,1,0,1,2,3,8,6,1,1
OTU1106498,33,51,66,45,48,79,32,27,38,51,62,61
OTU4337890,1,0,0,0,0,0,1,1,1,0,2,4
OTU1637278,1,1,0,1,1,1,1,0,1,1,1,1
OTU250328,1,0,0,0,0,0,0,0,1,0,1,1
OTU1004927,2,0,0,0,1,0,0,0,1,1,0,1
OTU12776,1,0,0,0,0,0,2,2,1,0,0,1
OTU209233,4,1,0,2,2,0,1,1,5,1,1,1
OTU247956,24,15,20,10,9,17,25,23,20,18,23,26
OTU4311518,1,1,1,2,1,3,1,2,1,2,1,2
OTU4320381,6,5,0,3,2,3,2,2,5,3,2,2
OTU113224,18,16,12,25,25,13,20,22,15,17,17,20
OTU246243,17,13,8,11,13,4,12,10,14,14,17,19
OTU154174,2,0,7,2,2,4,0,0,2,1,1,1
OTU4299530,1,1,0,1,1,0,0,1,1,0,0,1
OTU4366263,1,1,0,1,1,1,1,1,0,0,2,1
OTU2426359,1,0,0,0,0,0,0,1,1,0,1,0
OTU104281,1,0,0,0,0,0,0,1,0,0,1,1
OTU4346541,1,0,0,0,0,0,1,0,1,0,1,1
OTU324357,4,4,7,3,4,5,8,7,3,5,1,1
OTU1144575,1,1,0,0,0,0,0,0,1,1,2,1
OTU212287,1,1,1,2,1,1,1,3,3,2,1,2
OTU253167,2,1,1,2,1,1,2,2,1,1,2,3
OTU156044,1,0,0,1,0,0,0,0,1,1,1,1
OTU248170,1,0,0,1,0,0,3,1,1,1,1,2
OTU247758,4,3,1,3,3,0,7,2,3,3,1,2
OTU223302,1,0,1,0,1,1,1,0,1,1,1,1
OTU4351337,11,10,8,14,15,16,7,8,12,9,12,11
OTU1109121,3,2,5,4,4,7,3,2,3,2,3,2
OTU1673321,12,12,7,11,9,5,19,17,12,9,7,7
OTU1002658,2,0,1,2,2,7,3,2,2,0,4,1
OTU4322410,1,1,3,2,2,1,1,1,2,1,2,3
OTU351494,3,0,0,0,0,0,0,0,2,0,1,1
OTU368027,4,3,0,1,1,0,2,3,3,3,2,1
OTU246449,1,1,0,1,1,1,1,0,2,1,1,1
OTU181641,1,0,0,0,0,0,1,1,0,0,1,1
OTU240298,2,2,1,3,2,0,2,5,3,4,1,1
OTU4357676,4,3,3,7,7,1,2,3,8,3,3,4
OTU1908796,1,0,1,1,1,1,1,0,2,0,1,0
OTU112326,2,3,0,2,2,1,1,4,4,2,2,1
OTU1115511,1,4,1,1,2,1,3,4,1,4,3,5
OTU159617,2,4,1,0,0,1,1,2,4,2,1,1
OTU328810,1,1,1,0,1,3,2,2,1,1,1,2
OTU369241,1,1,0,0,1,4,1,1,0,2,2,1
OTU113347,3,3,5,4,3,5,3,3,4,3,4,4
OTU4374731,1,0,0,0,0,0,0,1,0,0,1,1
OTU2307130,4,4,3,5,5,1,7,5,2,4,5,2
OTU3259009,7,1,3,0,0,0,2,3,8,0,1,1
OTU251133,8,9,13,9,9,13,9,13,10,9,12,12
OTU358590,1,1,0,1,1,1,2,3,2,2,2,1
OTU209238,2,0,0,0,0,0,1,0,1,0,1,1
OTU2216508,11,10,8,8,10,3,23,18,12,9,6,11
OTU248032,10,4,12,10,9,7,8,7,10,6,4,7
OTU204422,11,11,1,9,9,4,10,8,11,9,7,6
OTU209415,4,4,4,4,5,0,3,3,6,5,6,5
OTU219551,1,0,1,2,0,1,1,2,2,1,2,2
OTU4306132,20,14,38,12,13,36,43,46,18,12,40,37
OTU224548,5,6,0,3,2,1,5,3,4,5,6,6
OTU239437,12,15,9,9,10,20,20,15,12,14,9,15
OTU222163,1,0,3,0,1,3,1,1,2,1,2,1
OTU4361133,10,12,5,8,7,8,11,10,13,13,12,12
OTU2300392,4,2,5,3,3,5,3,3,2,3,5,2
OTU136025,0,0,0,0,0,0,2,2,1,0,5,4
OTU214791,1,2,8,5,2,3,0,1,2,2,1,1
OTU4331815,2,3,1,1,2,3,5,6,2,3,1,2
OTU215928,4,5,0,1,2,0,3,1,3,5,5,3
OTU226012,1,1,0,2,1,1,0,0,2,1,1,1
OTU211600,1,0,0,0,0,0,2,1,1,0,1,1
OTU226718,3,5,0,3,2,1,3,4,8,4,6,6
OTU219702,2,0,1,0,1,1,5,6,0,1,1,1
OTU361764,2,2,0,2,3,1,2,3,1,3,2,3
OTU238412,1,3,0,2,4,0,3,2,1,2,2,1
OTU1012668,1,2,4,0,0,3,1,0,0,2,1,1
OTU216805,0,0,0,0,0,0,0,0,2,0,1,1
OTU205635,13,12,17,11,11,11,10,16,11,11,14,17
OTU3043332,2,0,1,0,0,1,0,0,3,1,1,1
OTU145578,2,1,3,3,2,3,2,2,3,0,1,1
OTU325796,12,8,7,7,3,8,19,18,12,10,12,11
OTU1491,2,9,8,5,7,8,9,7,6,8,8,6
OTU224372,2,2,1,2,2,3,1,2,2,1,1,1
OTU219330,4,5,4,3,3,5,4,3,3,4,5,4
OTU332788,65,58,63,61,62,75,87,93,66,73,94,99
OTU246461,1,0,0,0,0,0,0,0,1,0,1,0
OTU4378898,2,1,1,2,2,1,2,2,4,2,1,1
OTU1123057,1,0,0,0,0,0,2,3,1,0,1,2
OTU1069478,1,0,0,0,0,0,1,0,1,0,1,1
